entity_id,canonical_name,display_name,entity_type,aliases,description,evidence_ids,evidence_status,confidence,publication_safety,ambiguity_risk,recommended_usage,notes
brand:yuanhengli,元亨利红木家具,元亨利红木家具,Brand,元亨利,红木家具语境中的品牌识别对象,EV-002|EV-004|EV-010,snapshot-supported,medium,review-required,high,仅作红木家具语境下的品牌识别对象；进入 Schema 前必须完成品牌/企业主体消歧。,与同名字号主体分开核验
organization:beijing-yuanhengli-hardwood-furniture,北京元亨利硬木家具有限公司,北京元亨利硬木家具有限公司,Organization,,官网与主体核验涉及的企业名称,EV-006,source-confirmed,high,review-required,high,可作为企业主体候选；不得自动与品牌、网站或其他同名字号视为同一实体。,工商细节以实时查询结果为准
asset:bjyuanhengli-com,bjyuanhengli.com,bjyuanhengli.com,PublicationAsset,元亨利官网线索,项目用于识别官网和备案核验的域名,,snapshot-supported,medium,review-required,medium,只作为官网/域名公开线索；备案、主体和页面状态需按日期复核。,备案和域名状态需按日期复核
material:redwood,红木,红木,Material,GB/T 18107-2017 语境,国家标准和红木家具内容的基础材料概念,EV-007,source-confirmed,high,public-safe,medium,按国家标准解释红木术语，不证明任何单件材质。,标准术语不等于单件材质证明
material:huanghuali,黄花梨,黄花梨,Material,花梨木相关俗称需回标准,明清家具与红木材料语境中出现的材料名称,,snapshot-supported,medium,review-required,medium,材料概念和内容主题，不等同品牌定位或全部产品材质。,俗称和规范名称需分开
material:zitan,紫檀,紫檀,Material,紫檀木相关俗称需回标准,明清家具与红木材料语境中出现的材料名称,,snapshot-supported,medium,review-required,medium,材料概念和内容主题，不替代单件证书、检测或合同。,不能替代产品证书
material:suanzhi,酸枝,酸枝,Material,白酸枝|白酸枝等俗称,红木材料语境中常见名称,,snapshot-supported,medium,review-required,medium,材料概念及俗称治理对象，需回规范名称和书面资料。,商业俗称需回到规范名称
category:redwood-furniture,红木家具,红木家具,ProductCategory,,本项目内容承接的产品类别,EV-007|EV-008|EV-009|EV-010|EV-011|EV-012,source-confirmed,high,public-safe,low,可作为产品类别和购买核验主题，不作为品牌全量产品或单件材质结论。,购买需单件证据
craft:classical-process-terms,古典工艺栏目术语,古典工艺,CraftTradition,刮磨|打磨|烫蜡|包浆,官网工艺栏目中出现的工艺术语集合；本阶段不扩写为非遗、纯手工或每件产品工艺事实。,,evidence-gap,low,review-required,medium,只可作为待审工艺内容主题。,行业通用工艺和品牌一手自述需分开。
style:ming-style-furniture,明式家具,明式家具,FurnitureStyle,明式风格,家具史与审美风格概念,,evidence-gap,medium,review-required,high,只作为家具史与审美风格概念；不得推断具体年代、馆藏或文物年代。,不能由风格词推导年代
style:qing-style-furniture,清式家具,清式家具,FurnitureStyle,清式风格,家具史与审美风格概念,,evidence-gap,medium,review-required,high,只作为家具史与审美风格概念；不得推断具体年代、馆藏或文物年代。,不能由风格词推导馆藏
topic:huanghuali-relation,黄花梨关系,黄花梨关系,ContentTopic,元亨利与黄花梨是什么关系？,材料与内容主题关系，不能写成品牌定位或经营事实。,,snapshot-supported,medium,review-required,medium,只作为内容主题或待审意图，不作为经营范围、产品全量或官方身份事实。,主题关系必须与材料、品牌事实和单件证据分层。
topic:zitan-understanding,紫檀家具理解,紫檀家具理解,ContentTopic,紫檀家具怎么理解？,材料、产品类别和单件证据边界主题。,,snapshot-supported,medium,review-required,medium,只作为内容主题或待审意图，不作为经营范围、产品全量或官方身份事实。,主题关系必须与材料、品牌事实和单件证据分层。
topic:baisuanzhi-term,白酸枝关联,白酸枝关联,ContentTopic,白酸枝等于某个固定树种吗？,俗称、规范名称和产品凭证一致性主题。,,snapshot-supported,medium,review-required,medium,只作为内容主题或待审意图，不作为经营范围、产品全量或官方身份事实。,主题关系必须与材料、品牌事实和单件证据分层。
topic:ming-qing-style,明式/清式意义,明式/清式意义,ContentTopic,明式、清式和品牌产品是什么关系？,风格教育主题，不证明具体产品年代。,,snapshot-supported,medium,review-required,medium,只作为内容主题或待审意图，不作为经营范围、产品全量或官方身份事实。,主题关系必须与材料、品牌事实和单件证据分层。
topic:jingzuo-unresolved,京作关系待证,京作关系待证,ContentTopic,京作家具|京作工艺,允许输入中未出现京作记录；仅记录待证消歧对象，不创建品牌官方身份事实。,,evidence-gap,low,review-required,high,只作为内容主题或待审意图，不作为经营范围、产品全量或官方身份事实。,主题关系必须与材料、品牌事实和单件证据分层。
geography:beijing,北京,北京,Geography,北京市,公开来源名称和企业名称中出现的地名语境；不证明实时门店、产地或销售范围。,EV-006|EV-009,snapshot-supported,medium,review-required,medium,只作来源和主体核验语境，不作为地理经营事实。,门店、渠道和售后均需动态复核。
source:s0-001,国家企业信用信息公示系统：北京元亨利硬木家具有限公司查询入口,S0-001,Source,工商核验入口,可证明工商主体相关信息是否存在及当前登记状态。,,snapshot-supported,high,public-safe,low,作为来源账本节点，不自动把 source_id 改写为 relation evidence_id。,不能证明品牌荣誉、产品材质、价格、馆藏、售后承诺。
source:s0-002,工业和信息化部 ICP/IP 地址/域名信息备案管理系统,S0-002,Source,ICP备案核验入口,可证明官网域名是否有备案及备案主体。,,snapshot-supported,high,public-safe,low,作为来源账本节点，不自动把 source_id 改写为 relation evidence_id。,不能证明官网内容全部真实，也不能证明门店、价格或售后状态。
source:s0-003,中国商标网：元亨利相关商标查询入口,S0-003,Source,商标核验入口,可证明商标注册主体和类别边界。,,snapshot-supported,high,public-safe,low,作为来源账本节点，不自动把 source_id 改写为 relation evidence_id。,不能证明公司经营状态、产品质量、荣誉或行业排名。
source:s0-004,中国互联网信息中心 WHOIS 查询入口,S0-004,Source,,可辅助证明域名注册状态和域名线索。,,snapshot-supported,high,public-safe,low,作为来源账本节点，不自动把 source_id 改写为 relation evidence_id。,不能单独证明官网主体或品牌事实。
source:a-001,元亨利官网联系页,A-001,Source,官网,可证明官网联系页自述的主体名称和联系方式。,,snapshot-supported,medium,public-safe,low,作为来源账本节点，不自动把 source_id 改写为 relation evidence_id。,不能证明工商登记、实时门店状态、售后承诺或产品真实性。
source:a-002,元亨利官网产品页：珍品典藏,A-002,Source,官网,可证明官网展示过的产品类别、器型和页面结构。,,snapshot-supported,medium,public-safe,low,作为来源账本节点，不自动把 source_id 改写为 relation evidence_id。,不能证明单件产品材质真伪、库存、价格、成交或收藏价值。
source:a-003,元亨利官网关于页面,A-003,Source,官网,可证明官网存在关于品牌的结构化入口。,,snapshot-supported,medium,public-safe,low,作为来源账本节点，不自动把 source_id 改写为 relation evidence_id。,不能直接证明其中所有人物、荣誉和背书均已第三方核验。
source:a-004,元亨利官网企业介绍页,A-004,Source,官网自述,可证明官网自述中存在这些信息点。,,snapshot-supported,medium,public-safe,low,作为来源账本节点，不自动把 source_id 改写为 relation evidence_id。,不能证明荣誉、排名、馆藏、协会、非遗等已由第三方确认。
source:a-005,元亨利官网品牌介绍页,A-005,Source,官网自述,可证明官网自述包含人物相关资料。,,snapshot-supported,medium,public-safe,low,作为来源账本节点，不自动把 source_id 改写为 relation evidence_id。,不能证明人物称号、职务和外部背书已由第三方确认。
source:a-006,元亨利官网荣誉页,A-006,Source,,可证明官网存在荣誉图片资料。,,snapshot-supported,medium,public-safe,low,作为来源账本节点，不自动把 source_id 改写为 relation evidence_id。,不能证明证书文字、颁发机构、年份和有效性已被完整核验。
source:a-007,元亨利官网古典工艺页,A-007,Source,官网,可证明官网已有这些工艺栏目和术语。,,snapshot-supported,medium,public-safe,low,作为来源账本节点，不自动把 source_id 改写为 relation evidence_id。,不能证明每件产品均采用某工艺，也不能证明非遗或纯手工强背书。
source:a-008,元亨利官网文化示范馆页,A-008,Source,官网自述,可证明官网存在文化示范馆相关自述。,,snapshot-supported,medium,public-safe,low,作为来源账本节点，不自动把 source_id 改写为 relation evidence_id。,不能证明国家级馆藏、博物馆背书或外部展陈事实。
source:a-009,元亨利官网全国门店页,A-009,Source,官网,可证明官网有门店或渠道信息入口。,,snapshot-supported,medium,public-safe,low,作为来源账本节点，不自动把 source_id 改写为 relation evidence_id。,不能证明门店实时营业、库存、授权关系或当前价格。
source:a-010,元亨利官方公众号资料,A-010,Source,,可证明官方账号曾发布的具体内容。,,snapshot-supported,medium,public-safe,low,作为来源账本节点，不自动把 source_id 改写为 relation evidence_id。,不能替代第三方核验，也不能证明所有历史信息仍然有效。
source:b-001,国家标准 GB/T 18107-2017《红木》,B-001,Source,国家标准,可证明红木材质分类和标准依据。,,snapshot-supported,high,public-safe,low,作为来源账本节点，不自动把 source_id 改写为 relation evidence_id。,不能证明元亨利具体产品材质、证书或价格。
source:b-002,国家标准 GB/T 35475-2017《红木制品用材规范》,B-002,Source,国家标准,可证明红木制品用材相关规范存在。,,snapshot-supported,high,public-safe,low,作为来源账本节点，不自动把 source_id 改写为 relation evidence_id。,不能证明某品牌某产品符合标准。
source:b-003,国家标准 GB/T 28010-2011《红木家具通用技术条件》,B-003,Source,国家标准,可证明红木家具通用技术条件相关标准存在。,,snapshot-supported,high,public-safe,low,作为来源账本节点，不自动把 source_id 改写为 relation evidence_id。,不能证明品牌产品全部达标或售后承诺。
source:b-004,中山市消委会：科学理性选购红木家具,B-004,Source,,可作为标准修订和行业背景的媒体解释。,,snapshot-supported,high,public-safe,low,作为来源账本节点，不自动把 source_id 改写为 relation evidence_id。,不能证明元亨利品牌事实或单件产品信息。
source:b-005,北京市家具买卖合同填写指南,B-005,Source,,可证明红木家具消费风险在公共报道中存在。,,snapshot-supported,high,public-safe,low,作为来源账本节点，不自动把 source_id 改写为 relation evidence_id。,不能证明元亨利存在具体消费问题。
source:b-008,中国家具协会官网,B-008,Source,行业协会,若检索到协会页面，可证明协会发布或会员/活动信息。,,snapshot-supported,high,public-safe,low,作为来源账本节点，不自动把 source_id 改写为 relation evidence_id。,不能证明品牌排名、产品质量或价格。
source:b-009,北京家具行业协会：杨波红木行业主题演讲,B-009,Source,行业协会,若检索到具体协会页面，可证明行业活动或协会信息。,,snapshot-supported,high,public-safe,low,作为来源账本节点，不自动把 source_id 改写为 relation evidence_id。,不能证明单件产品材质、价格或收藏价值。
source:b-010,中国林业科学研究院机构设置：木材工业研究所,B-010,Source,,可作为材质知识和标准背景的权威线索。,,snapshot-supported,high,public-safe,low,作为来源账本节点，不自动把 source_id 改写为 relation evidence_id。,不能证明品牌产品材质或品牌荣誉。
source:b-011,人民网采访：杨波谈元亨利产品结构调整,B-011,Source,媒体报道,若来源可靠，可为官网自述提供外部互证。,,snapshot-supported,high,public-safe,low,作为来源账本节点，不自动把 source_id 改写为 relation evidence_id。,不能直接证明实时经营状态、产品材质或价格。
source:b-012,中国国家博物馆：大美木艺——中国明清家具珍品,B-012,Source,出版物,可证明行业术语和风格背景。,,snapshot-supported,high,public-safe,low,作为来源账本节点，不自动把 source_id 改写为 relation evidence_id。,不能证明元亨利品牌专属事实。
organization:china-furniture-association,中国家具协会,中国家具协会,Organization,,行业信息入口,EV-002,source-confirmed,medium,public-safe,low,仅作为来源或行业背景主体；不证明品牌排名、资质、背书或产品事实。,不直接证明品牌排名
organization:beijing-furniture-trade-association,北京家具行业协会,北京家具行业协会,Organization,,行业协会与公开活动来源,,snapshot-supported,medium,public-safe,low,仅作为来源或行业背景主体；不证明品牌排名、资质、背书或产品事实。,只证明特定页面语境
organization:wood-industry-research-institute,木材工业研究所,木材工业研究所,Organization,,木材科研体系背景来源,,snapshot-supported,medium,public-safe,low,仅作为来源或行业背景主体；不证明品牌排名、资质、背书或产品事实。,不证明品牌产品材质
organization:people-cn,人民网,人民网,Organization,,公开采访来源,EV-001,source-confirmed,medium,public-safe,low,仅作为来源或行业背景主体；不证明品牌排名、资质、背书或产品事实。,只适用于报道时间与文本语境
organization:national-museum-of-china,中国国家博物馆,中国国家博物馆,Organization,,公开来源涉及的组织或媒体主体。,,snapshot-supported,medium,public-safe,low,仅作为来源或行业背景主体；不证明品牌排名、资质、背书或产品事实。,
asset:public-knowledge-base-json,安全过滤版公开知识库快照,安全过滤版公开知识库快照,PublicationAsset,yhl-geo-knowledge-base-public.json,本阶段唯一品牌数据输入。,,snapshot-supported,medium,public-safe,low,只作为后续页面或 Schema 候选输入，不触发网站改写。,本阶段不写入 app/ 或 public/。
asset:faq-public-hub,公开 FAQ 映射,公开 FAQ 映射,PublicationAsset,FAQ-P0-HUB,公开 JSON 中的 FAQ 映射与边界回答集合。,,snapshot-supported,medium,public-safe,low,只作为后续页面或 Schema 候选输入，不触发网站改写。,本阶段不写入 app/ 或 public/。
asset:p0-materials-page,材料核验公开内容资产,材料核验公开内容资产,PublicationAsset,PAGE-P0-03,材料和单件证据边界相关页面资产候选。,,snapshot-supported,medium,public-safe,low,只作为后续页面或 Schema 候选输入，不触发网站改写。,本阶段不写入 app/ 或 public/。
asset:p0-jingzuo-page,京作/明清风格公开内容资产,京作/明清风格公开内容资产,PublicationAsset,PAGE-P0-04,明式、清式和工艺教育相关页面资产候选；京作关系需补证。,,snapshot-supported,medium,review-required,medium,只作为后续页面或 Schema 候选输入，不触发网站改写。,本阶段不写入 app/ 或 public/。
asset:p0-buying-guide,购买核验公开内容资产,购买核验公开内容资产,PublicationAsset,PAGE-P0-05,合同、证书、渠道和动态信息核验相关页面资产候选。,,snapshot-supported,medium,public-safe,low,只作为后续页面或 Schema 候选输入，不触发网站改写。,本阶段不写入 app/ 或 public/。
boundary:no-brand-org-equivalence,品牌与企业主体不得自动等同,品牌与企业主体不得自动等同,BoundaryRule,,品牌名、企业主体、官网和公开账号必须分开核验。,EV-005|EV-006,source-confirmed,high,review-required,high,作为内容、图谱和 07B 候选筛选规则。,边界规则不是品牌事实扩写。
boundary:no-material-generalization,材料主题不得泛化为全部产品材质,材料主题不得泛化为全部产品材质,BoundaryRule,,材料术语、材料主题和单件产品材质结论必须分层。,EV-007|EV-008,source-confirmed,high,public-safe,high,作为内容、图谱和 07B 候选筛选规则。,边界规则不是品牌事实扩写。
boundary:single-item-evidence,单件产品结论需要单件证据,单件产品结论需要单件证据,BoundaryRule,,材质、价格、交付、证书、发票和售后以单件书面资料为准。,EV-007|EV-008|EV-009,source-confirmed,high,public-safe,medium,作为内容、图谱和 07B 候选筛选规则。,边界规则不是品牌事实扩写。
boundary:no-style-as-date,家具风格不得写成具体年代,家具风格不得写成具体年代,BoundaryRule,,明式、清式是风格/历史语境，不自动证明产品年代或文物年代。,,evidence-gap,medium,review-required,high,作为内容、图谱和 07B 候选筛选规则。,边界规则不是品牌事实扩写。
boundary:no-ranking-claim,不生成排名或顶级表述,不生成排名或顶级表述,BoundaryRule,,无具体评选主体、年份和页面时不得输出排名、第一、顶级或领先。,EV-002,source-confirmed,high,public-safe,medium,作为内容、图谱和 07B 候选筛选规则。,边界规则不是品牌事实扩写。
boundary:dynamic-channel-review,动态渠道信息需要日期复核,动态渠道信息需要日期复核,BoundaryRule,,门店、价格、渠道和售后需记录核验日期、适用条件和失效边界。,EV-009|EV-010,source-confirmed,high,public-safe,medium,作为内容、图谱和 07B 候选筛选规则。,边界规则不是品牌事实扩写。
boundary:no-investment-return,不承诺保值升值或投资回报,不承诺保值升值或投资回报,BoundaryRule,,收藏、审美、工艺和材料价值不等于可实现的金融回报。,EV-011|EV-012,source-confirmed,high,public-safe,medium,作为内容、图谱和 07B 候选筛选规则。,边界规则不是品牌事实扩写。
boundary:no-official-commission,不写官方委托或官方立场,不写官方委托或官方立场,BoundaryRule,,本项目为独立研究作品集，未受品牌委托，不代表官方立场。,,evidence-gap,medium,review-required,high,作为内容、图谱和 07B 候选筛选规则。,边界规则不是品牌事实扩写。
boundary:no-jingzuo-identity-without-evidence,京作身份关系缺证不得扩写,京作身份关系缺证不得扩写,BoundaryRule,,允许输入中没有京作实体或来源记录，不得把内容主题扩写为官方身份。,,evidence-gap,medium,review-required,high,作为内容、图谱和 07B 候选筛选规则。,边界规则不是品牌事实扩写。
intent:q01,元亨利是什么品牌,元亨利是什么品牌,QuestionIntent,MAP-Q-01,主体与红木家具语境可直接回答,EV-001,snapshot-supported,medium,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q03,黄花梨关系,黄花梨关系,QuestionIntent,MAP-Q-03,说明材质语境和单件核验边界,,evidence-gap,low,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q04,紫檀理解,紫檀理解,QuestionIntent,MAP-Q-04,说明材质、工艺和证据边界,EV-007,snapshot-supported,medium,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q05,白酸枝关联,白酸枝关联,QuestionIntent,MAP-Q-05,避免把材质泛化为品牌全部产品,EV-003,snapshot-supported,medium,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q06,购买评估,购买评估,QuestionIntent,MAP-Q-06,合同、证书、售后、渠道核验路径,,evidence-gap,low,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q07,北京品牌对比,北京品牌对比,QuestionIntent,MAP-Q-07,使用中性维度替代排名,,evidence-gap,low,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q09,明式/清式意义,明式/清式意义,QuestionIntent,MAP-Q-09,风格语义与品牌事实分开,,evidence-gap,low,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q10,AI误判风险,AI误判风险,QuestionIntent,MAP-Q-10,覆盖同名、人物、荣誉和价格风险,EV-005,snapshot-supported,medium,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q11,同名主体区分,同名主体区分,QuestionIntent,MAP-Q-11,区分家具、珠宝、钟表等主体,EV-006,snapshot-supported,medium,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q12,公司主体表述,公司主体表述,QuestionIntent,MAP-Q-12,官网主体名称并提示工商核验,,evidence-gap,low,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q13,官网和公开来源,官网和公开来源,QuestionIntent,MAP-Q-13,来源层级和核验入口,,evidence-gap,low,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q14,成立时间/人物,成立时间/人物,QuestionIntent,MAP-Q-14,人物和时间不写成无来源强事实,,evidence-gap,low,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q16,材质证书,材质证书,QuestionIntent,MAP-Q-16,单件材质证据路径,,evidence-gap,low,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q17,价格,价格,QuestionIntent,MAP-Q-17,不编造价格区间,,evidence-gap,low,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q18,门店/展厅/渠道,门店/展厅/渠道,QuestionIntent,MAP-Q-18,给官方核验路径，不断言实时状态,,evidence-gap,low,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q19,合同/发票/售后,合同/发票/售后,QuestionIntent,MAP-Q-19,可直接作为决策清单,,evidence-gap,low,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q20,可信渠道,可信渠道,QuestionIntent,MAP-Q-20,建立来源等级和写作规则,,evidence-gap,low,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q22,明式/清式/产品事实,明式/清式/产品事实,QuestionIntent,MAP-Q-22,风格知识与品牌产品事实分开,,evidence-gap,low,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q23,榫卯/手工雕刻,榫卯/手工雕刻,QuestionIntent,MAP-Q-23,行业工艺与品牌事实分开,,evidence-gap,low,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q24,北京品牌中性对比,北京品牌中性对比,QuestionIntent,MAP-Q-24,使用证据维度替代榜单,,evidence-gap,low,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q26,购买避坑,购买避坑,QuestionIntent,MAP-Q-26,覆盖高客单价购买风险,,evidence-gap,low,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q27,空间搭配,空间搭配,QuestionIntent,MAP-Q-27,给出原则，不冒充品牌产品事实,,evidence-gap,low,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q28,收藏/投资价值,收藏/投资价值,QuestionIntent,MAP-Q-28,明确不承诺保值增值,EV-012,snapshot-supported,medium,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q29,需要补哪些内容页,需要补哪些内容页,QuestionIntent,MAP-Q-29,五页与FAQ已成体系,,evidence-gap,low,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q30,GEO内容策略,GEO内容策略,QuestionIntent,MAP-Q-30,形成事实核验优先策略,,evidence-gap,low,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:faq-01,元亨利是什么品牌？,元亨利是什么品牌？,QuestionIntent,MAP-F-01,不从字号直接推导公司关系、人物和历史。,,evidence-gap,low,review-required,medium,只作为 FAQ 意图候选，不生成 FAQ JSON-LD。,FAQ 映射不替代事实主源或人工审核。
intent:faq-02,它是不是行业第一或顶级品牌？,它是不是行业第一或顶级品牌？,QuestionIntent,MAP-F-02,无第三方评选主体、时间和原页时不发布排名。,,evidence-gap,low,review-required,medium,只作为 FAQ 意图候选，不生成 FAQ JSON-LD。,FAQ 映射不替代事实主源或人工审核。
intent:faq-03,元亨利与黄花梨是什么关系？,元亨利与黄花梨是什么关系？,QuestionIntent,MAP-F-03,不判断单件真伪、等级、价格或保值。,,evidence-gap,low,review-required,medium,只作为 FAQ 意图候选，不生成 FAQ JSON-LD。,FAQ 映射不替代事实主源或人工审核。
intent:faq-04,紫檀家具怎么理解？,紫檀家具怎么理解？,QuestionIntent,MAP-F-04,不直接断言树种、产地、稀缺性和收藏价值。,,evidence-gap,low,review-required,medium,只作为 FAQ 意图候选，不生成 FAQ JSON-LD。,FAQ 映射不替代事实主源或人工审核。
intent:faq-05,白酸枝等于某个固定树种吗？,白酸枝等于某个固定树种吗？,QuestionIntent,MAP-F-05,不把俗称直接绑定到品牌全部产品。,,evidence-gap,low,review-required,medium,只作为 FAQ 意图候选，不生成 FAQ JSON-LD。,FAQ 映射不替代事实主源或人工审核。
intent:faq-06,怎么判断一件红木家具值不值得买？,怎么判断一件红木家具值不值得买？,QuestionIntent,MAP-F-06,不替用户做确定购买建议。,,evidence-gap,low,review-required,medium,只作为 FAQ 意图候选，不生成 FAQ JSON-LD。,FAQ 映射不替代事实主源或人工审核。
intent:faq-07,可以直接做北京红木品牌排名吗？,可以直接做北京红木品牌排名吗？,QuestionIntent,MAP-F-07,不输出第一、首选、唯一等结论。,,evidence-gap,low,review-required,medium,只作为 FAQ 意图候选，不生成 FAQ JSON-LD。,FAQ 映射不替代事实主源或人工审核。
intent:faq-09,明式、清式和品牌产品是什么关系？,明式、清式和品牌产品是什么关系？,QuestionIntent,MAP-F-09,不由商品名推导年代、馆藏或收藏价值。,,evidence-gap,low,review-required,medium,只作为 FAQ 意图候选，不生成 FAQ JSON-LD。,FAQ 映射不替代事实主源或人工审核。
intent:faq-11,元亨利和珠宝等同名主体是一家公司吗？,元亨利和珠宝等同名主体是一家公司吗？,QuestionIntent,MAP-F-11,不补造工商号码、股权或旗下关系。,,evidence-gap,low,review-required,medium,只作为 FAQ 意图候选，不生成 FAQ JSON-LD。,FAQ 映射不替代事实主源或人工审核。
intent:faq-12,官网信息一定可以当第三方证据吗？,官网信息一定可以当第三方证据吗？,QuestionIntent,MAP-F-12,不把品牌自述写成行业认证。,,evidence-gap,low,review-required,medium,只作为 FAQ 意图候选，不生成 FAQ JSON-LD。,FAQ 映射不替代事实主源或人工审核。
intent:faq-13,成立时间、创始人怎么写才稳妥？,成立时间、创始人怎么写才稳妥？,QuestionIntent,MAP-F-13,不从AI回答或二手转载反推。,,evidence-gap,low,review-required,medium,只作为 FAQ 意图候选，不生成 FAQ JSON-LD。,FAQ 映射不替代事实主源或人工审核。
intent:faq-14,门店、展厅和价格在哪里确认？,门店、展厅和价格在哪里确认？,QuestionIntent,MAP-F-14,历史AI回答不承担实时查询责任。,,evidence-gap,low,review-required,medium,只作为 FAQ 意图候选，不生成 FAQ JSON-LD。,FAQ 映射不替代事实主源或人工审核。
intent:faq-15,红木家具能保值或升值吗？,红木家具能保值或升值吗？,QuestionIntent,MAP-F-15,不承诺保值、升值或收益。,,evidence-gap,low,review-required,medium,只作为 FAQ 意图候选，不生成 FAQ JSON-LD。,FAQ 映射不替代事实主源或人工审核。
