"candidate_id","candidate_question","08a_recommended_action","human_decision","decision_reason","existing_question_relation","target_route","evidence_ready","required_evidence","suitable_for_platform_retest","suitable_for_page_follow_up","proposed_v2_id","requires_final_approval","status","notes"
"CAND-INTENT-001","如何核验“元亨利红木家具”与具体企业主体、官网和公开账号之间的关系？","hold-evidence","hold-evidence","问题有真实核验价值，但 07A2 已要求品牌、企业主体、官网和公开账号关系必须等待直接公开证据。","related-to q12|q13; cannot merge brand and legal subject without evidence","new-page:brand-source-verification","no","brand-source|government-source|multiple-source","yes","yes","","yes","held","08B 不确认主体关系事实；进入证据补采优先级。"
"CAND-INTENT-002","单件元亨利家具的主材、辅材和证书应如何对应到合同与发票？","consider-for-v2","approve-for-v2","补齐单件证据链和购买核验任务，问题可独立复测，且可以只讨论合同、发票、证书和材质证明的对应关系。","extends q16|q19; not a duplicate because it focuses on single-item document mapping","new-page:single-item-evidence","partial","product-level-evidence|industry-standard","yes","yes","V2-CAND-001","yes","provisionally-approved","暂批进入 v2 提案；不判断具体产品真伪。"
"CAND-INTENT-003","购买后应保存哪些合同、证书、检测、交付和售后资料？","consider-for-v2","approve-for-v2","post-decision 阶段覆盖偏薄，本题面向证据留存，不需要新增品牌事实。","extends q19; adds after-purchase evidence retention stage","new-page:single-item-evidence","partial","product-level-evidence","yes","yes","V2-CAND-002","yes","provisionally-approved","暂批进入 v2 提案；后续答案需保持通用证据保存口径。"
"CAND-INTENT-004","门店、展厅、价格和售后这类动态信息多久需要复核一次？","hold-evidence","hold-evidence","动态信息涉及价格、门店、售后和查询日期，当前缺少可执行的日期复核规则和官方渠道证据。","related-to q17|q18; do not merge until dynamic verification rule is approved","new-page:dynamic-info-review","no","brand-source|product-level-evidence|multiple-source","yes","yes","","yes","held","仅可作为未来动态信息治理议题；本阶段不批准入库。"
"CAND-INTENT-005","如何判断官网自述、媒体报道和行业协会信息分别能证明什么？","consider-for-v2","approve-for-v2","来源层级和证明范围是稳定复测任务，可用方法论回答，不需要新增品牌事实。","extends q13|q20; more specific on proof scope of source types","/method","partial","brand-source|media-source|association-source|multiple-source","yes","yes","V2-CAND-003","yes","provisionally-approved","暂批进入 v2 提案；答案只讨论来源能证明什么，不能替来源补事实。"
"CAND-INTENT-006","“京作”“北京品牌”和“明清风格”在元亨利相关内容中应如何分开写？","merge-with-existing","merge-with-existing","与 q08、q21、q22 的京作和风格边界高度重合，适合未来合并为变体或段落，不新增正式测试题。","merge into q08|q21|q22","/jingzuo","partial","association-source|expert-source|brand-source","yes","yes","","yes","pending-final-approval","保留为合并建议；不得写成官方京作身份。"
"CAND-INTENT-007","看到“元亨利黄花梨家具”说法时，如何避免把材料主题误写成经营事实？","merge-with-existing","merge-with-existing","与 q03 的材料主题和品牌经营事实边界同根，适合作为 q03 或材料页模块，不需要单独入库。","merge into q03; also related to q16","/materials","partial","industry-standard|product-level-evidence","no","yes","","yes","pending-final-approval","保留为页面模块和未来题干变体。"
"CAND-INTENT-008","白酸枝、酸枝和红木标准名称不一致时应以哪些文件为准？","consider-for-v2","approve-for-v2","材料俗称、标准名称和产品凭证的关系是清晰缺口，可用权威标准与单件资料边界回答。","extends q05; distinct focus on standard-name conflict","/materials","partial","industry-standard|product-level-evidence|expert-source","yes","yes","V2-CAND-004","yes","provisionally-approved","暂批进入 v2 提案；不暗示品牌一定经营该材料。"
"CAND-INTENT-009","AI 回答里提到元亨利荣誉、排名或背书时应如何追溯来源？","hold-evidence","hold-evidence","荣誉、排名和背书属于高风险强断言，当前缺少原始颁发主体、年份、证书或公开来源证据。","related-to q10|q15; requires evidence before formal expansion","/facts","no","association-source|media-source|multiple-source","yes","yes","","yes","held","证据补采前只可作为风险提示，不进入 v2 提案。"
"CAND-INTENT-010","比较北京红木品牌时，如何用证据维度替代“哪个最好”？","consider-for-v2","approve-for-v2","补齐品牌比较框架缺口，明确避免排名化和“最好”判断，可稳定复测。","extends q07|q24|q25; reframes comparison into evidence dimensions","new-page:brand-comparison-framework","partial","association-source|media-source|multiple-source","yes","yes","V2-CAND-005","yes","provisionally-approved","暂批进入 v2 提案；禁止排行、首选和无证据优劣结论。"
"CAND-INTENT-011","元亨利相关内容能否使用“官方京作代表”这类说法？需要哪些证据？","hold-evidence","hold-evidence","07A2 已明确京作身份缺直接 evidence_id，不能通过问题入库暗示已有官方身份。","related-to q08|q21; evidence-first before any formal wording test","/jingzuo","no","government-source|association-source|brand-source|multiple-source","yes","yes","","yes","held","继续 hold-evidence；可列为京作关系证据补采项。"
"CAND-INTENT-012","如何区分产品名称中的风格词、实际年代和收藏价值判断？","consider-for-v2","approve-for-v2","风格词、年代和收藏价值的边界稳定且高风险，能补齐 q09、q22、q28 的交叉误判。","extends q09|q22|q28; not a duplicate because it joins style, age, and value claims","/jingzuo","partial","expert-source|product-level-evidence|media-source","yes","yes","V2-CAND-006","yes","provisionally-approved","暂批进入 v2 提案；不判断具体产品年代或价值。"
"CAND-INTENT-013","用户只提供一张产品图片时，AI 应如何回答元亨利材质和真伪问题？","manual-review","manual-review","问题价值高，但现有材料不足以确定它应进入正式复测题还是仅作为图片证据边界指南。","related-to q16|q19; new image-only scenario needs separate review","new-page:single-item-evidence","no","product-level-evidence","yes","yes","","yes","pending-final-approval","需人工决定是否在 08C 前建立图片证据处理规则。"
"CAND-INTENT-014","AI 介绍元亨利时引用旧网页或二手转载，应该如何做日期和来源复核？","consider-for-v2","approve-for-v2","旧网页和二手转载的日期复核是稳定方法题，可减少 AI 把历史页面当当前事实的风险。","extends q13|q20; distinct focus on date and repost verification","/method","partial","brand-source|media-source|multiple-source","yes","yes","V2-CAND-007","yes","provisionally-approved","暂批进入 v2 提案；不新增实时官网、门店或价格事实。"
"CAND-INTENT-015","元亨利相关内容中的品牌整体评价和单件产品评价应如何分开？","consider-for-v2","approve-for-v2","品牌整体评价和单件产品评价混淆是高风险购买核验缺口，题目可独立理解并适合复测。","extends q06|q16|q19; focuses on evaluation level separation","new-page:single-item-evidence","partial","brand-source|product-level-evidence|multiple-source","yes","yes","V2-CAND-008","yes","provisionally-approved","暂批进入 v2 提案；不得从单件经验反推品牌全量事实。"
"CAND-INTENT-016","在购买沟通中，哪些承诺必须写入书面合同而不能只看宣传文案？","consider-for-v2","approve-for-v2","书面承诺边界是明确购买任务，与 q19/q26 相关但更聚焦合同化要求和宣传文案风险。","extends q19|q26; distinct purchase-commitment checklist","/buying-guide","partial","product-level-evidence|brand-source","yes","yes","V2-CAND-009","yes","provisionally-approved","暂批进入 v2 提案；答案不得替品牌承诺售后或价格。"
"CAND-INTENT-017","收藏或投资相关说法缺少成交、来源和单件资料时应如何降级表达？","hold-evidence","page-follow-up-only","q28 已覆盖收藏投资谨慎边界，本题更适合成为页面中的降级表达提示，不需要扩正式题。","page follow-up under q28; related to q15|q17","/buying-guide","no","product-level-evidence|media-source|multiple-source","no","yes","","yes","pending-final-approval","不进入 v2 提案；禁止承诺保值、升值、回购或收益。"
"CAND-INTENT-018","未来公开资料更新后，问题库和页面映射应如何复核而不是直接改题？","consider-for-v2","page-follow-up-only","这是内部数据治理和方法页说明，适合放入 08C 门禁或方法页面追问，不属于面向 AI 平台复测的市场问题。","related-to q29|q30 and data governance docs; not a formal user-facing retest item","/method","partial","multiple-source|no-brand-claim-required","no","yes","","yes","pending-final-approval","不进入 v2 提案；可作为方法文档和后续治理流程说明。"
