"proposed_order","record_type","current_question_id","temporary_v2_id","question","content_cluster","primary_intent","user_stage","risk_level","evidence_requirements","target_route","approval_status","notes"
"1","canonical-existing","q01","","元亨利是什么品牌？","品牌认知与事实","brand-definition","awareness","high","brand-source|government-source|media-source|multiple-source","/facts","canonical-baseline-retained","Existing canonical v1 question retained unchanged."
"2","canonical-existing","q02","","元亨利红木家具在红木家具行业中如何定位？","品牌认知与事实","brand-definition","awareness","high","brand-source|association-source|media-source|multiple-source","/facts","canonical-baseline-retained","Existing canonical v1 question retained unchanged."
"3","canonical-existing","q03","","元亨利是否与黄花梨家具有关？AI 回答时应注意哪些信息边界？","材质与产品边界","material-understanding","consideration","high","industry-standard|product-level-evidence|multiple-source","/materials","canonical-baseline-retained","Existing canonical v1 question retained unchanged."
"4","canonical-existing","q04","","元亨利的紫檀家具应该从哪些维度理解？","材质与产品边界","material-understanding","consideration","high","industry-standard|expert-source|product-level-evidence","/materials","canonical-baseline-retained","Existing canonical v1 question retained unchanged."
"5","canonical-existing","q05","","白酸枝家具和元亨利品牌之间可能有哪些关联？","材质与产品边界","material-understanding","consideration","high","industry-standard|product-level-evidence|multiple-source","/materials","canonical-baseline-retained","Existing canonical v1 question retained unchanged."
"6","canonical-existing","q06","","如果考虑购买高端红木家具，评估元亨利时应关注哪些因素？","购买与核验","purchase-evaluation","decision","high","brand-source|product-level-evidence|multiple-source","/buying-guide","canonical-baseline-retained","Existing canonical v1 question retained unchanged."
"7","canonical-existing","q07","","元亨利和其他北京红木家具品牌相比，AI 应该比较哪些维度？","品牌比较与选择","comparison","consideration","high","brand-source|association-source|media-source|multiple-source","new-page:brand-comparison-framework","canonical-baseline-retained","Existing canonical v1 question retained unchanged."
"8","canonical-existing","q08","","元亨利与京作红木家具有什么关系？","京作、明式与清式","craft-style-understanding","awareness","high","brand-source|association-source|expert-source|multiple-source","/jingzuo","canonical-baseline-retained","Existing canonical v1 question retained unchanged."
"9","canonical-existing","q09","","红木家具行业中，明式家具和清式家具对理解元亨利有什么意义？","京作、明式与清式","craft-style-understanding","consideration","high","expert-source|industry-standard|product-level-evidence","/jingzuo","canonical-baseline-retained","Existing canonical v1 question retained unchanged."
"10","canonical-existing","q10","","AI 介绍元亨利时最容易遗漏或误判哪些信息？","风险、来源与信息边界","risk-boundary","research","high","multiple-source|brand-source|government-source|product-level-evidence","/prompt-system","canonical-baseline-retained","Existing canonical v1 question retained unchanged."
"11","canonical-existing","q11","","当用户只问“元亨利怎么样”时，AI 应该如何区分红木家具、珠宝、钟表或其他同名主体？","风险、来源与信息边界","brand-definition","awareness","high","government-source|brand-source|multiple-source","/disambiguation","canonical-baseline-retained","Existing canonical v1 question retained unchanged."
"12","canonical-existing","q12","","北京元亨利硬木家具有限公司和“元亨利红木家具”之间应该如何表述？","品牌认知与事实","fact-verification","research","high","government-source|brand-source|multiple-source","new-page:brand-source-verification","canonical-baseline-retained","Existing canonical v1 question retained unchanged; evidence-first remains."
"13","canonical-existing","q13","","如果用户想找元亨利的官网、官方资料或公开信息，AI 应该提示核验哪些来源？","风险、来源与信息边界","source-verification","research","high","brand-source|government-source|association-source|media-source|multiple-source","/method","canonical-baseline-retained","Existing canonical v1 question retained unchanged."
"14","canonical-existing","q14","","AI 介绍元亨利的成立时间、创始人或负责人时，应该如何处理不确定信息？","风险、来源与信息边界","fact-verification","research","high","government-source|brand-source|media-source|multiple-source","new-page:brand-source-verification","canonical-baseline-retained","Existing canonical v1 question retained unchanged."
"15","canonical-existing","q15","","元亨利有哪些行业荣誉、排名或收藏背书？AI 回答时应如何避免无来源断言？","风险、来源与信息边界","risk-boundary","research","high","association-source|media-source|multiple-source","/facts","canonical-baseline-retained","Existing canonical v1 question retained unchanged; evidence-first remains."
"16","canonical-existing","q16","","购买元亨利黄花梨、紫檀或酸枝家具时，材质证书和产品信息应如何核验？","购买与核验","process-how-to","decision","high","industry-standard|product-level-evidence|brand-source","new-page:single-item-evidence","canonical-baseline-retained","Existing canonical v1 question retained unchanged."
"17","canonical-existing","q17","","元亨利红木家具价格一般是多少？AI 回答时哪些信息不能直接编造？","购买与核验","risk-boundary","decision","high","brand-source|product-level-evidence","new-page:dynamic-info-review","canonical-baseline-retained","Existing canonical v1 question retained unchanged; evidence-first remains."
"18","canonical-existing","q18","","想了解元亨利门店、展厅或购买渠道信息，AI 应该如何给出核验建议？","购买与核验","source-verification","decision","high","brand-source|government-source|multiple-source","new-page:dynamic-info-review","canonical-baseline-retained","Existing canonical v1 question retained unchanged."
"19","canonical-existing","q19","","购买高端红木家具时，合同、发票、售后条款和材质说明要关注什么？","购买与核验","process-how-to","post-decision","high","product-level-evidence|industry-standard|brand-source","new-page:single-item-evidence","canonical-baseline-retained","Existing canonical v1 question retained unchanged."
"20","canonical-existing","q20","","如何判断一篇介绍元亨利红木家具的内容是否来自可信渠道？","风险、来源与信息边界","source-verification","research","medium","brand-source|association-source|media-source|multiple-source","/method","canonical-baseline-retained","Existing canonical v1 question retained unchanged."
"21","canonical-existing","q21","","京作红木家具与元亨利之间有什么可核验关系和表达边界？","京作、明式与清式","craft-style-understanding","research","high","brand-source|association-source|expert-source|multiple-source","/jingzuo","canonical-baseline-retained","Existing canonical v1 question retained unchanged."
"22","canonical-existing","q22","","元亨利相关内容如何区分明式家具、清式家具和品牌产品事实？","京作、明式与清式","craft-style-understanding","research","high","expert-source|product-level-evidence|multiple-source","/jingzuo","canonical-baseline-retained","Existing canonical v1 question retained unchanged."
"23","canonical-existing","q23","","榫卯工艺、手工雕刻等传统工艺能否直接作为元亨利品牌事实来写？","京作、明式与清式","craft-style-understanding","research","high","brand-source|expert-source|product-level-evidence","/jingzuo","canonical-baseline-retained","Existing canonical v1 question retained unchanged."
"24","canonical-existing","q24","","北京红木家具品牌对比时，AI 应该使用哪些中性维度？","品牌比较与选择","comparison","consideration","high","brand-source|association-source|media-source|multiple-source","new-page:brand-comparison-framework","canonical-baseline-retained","Existing canonical v1 question retained unchanged."
"25","canonical-existing","q25","","高端红木家具品牌有哪些？AI 是否会提到元亨利，回答时需要哪些证据边界？","品牌比较与选择","recommendation","consideration","high","association-source|media-source|multiple-source","new-page:brand-comparison-framework","canonical-baseline-retained","Existing canonical v1 question retained unchanged; evidence-first remains."
"26","canonical-existing","q26","","第一次购买高端红木家具要避哪些坑？元亨利相关信息应如何核验？","购买与核验","purchase-evaluation","decision","high","government-source|brand-source|product-level-evidence|multiple-source","/buying-guide","canonical-baseline-retained","Existing canonical v1 question retained unchanged."
"27","canonical-existing","q27","","中式空间搭配时，用户应该如何理解红木家具风格、材质和品牌选择？","京作、明式与清式","recommendation","consideration","medium","expert-source|product-level-evidence|no-brand-claim-required","/jingzuo","canonical-baseline-retained","Existing canonical v1 question retained unchanged."
"28","canonical-existing","q28","","元亨利红木家具是否具有收藏或投资价值？AI 应该如何谨慎回答？","风险、来源与信息边界","risk-boundary","decision","high","product-level-evidence|media-source|industry-standard|multiple-source","/buying-guide","canonical-baseline-retained","Existing canonical v1 question retained unchanged."
"29","canonical-existing","q29","","如果为元亨利做 AI 搜索优化，最需要补哪些内容页？","风险、来源与信息边界","process-how-to","research","medium","multiple-source|no-brand-claim-required","/strategy","canonical-baseline-retained","Existing canonical v1 question retained unchanged."
"30","canonical-existing","q30","","元亨利红木家具的 GEO 内容策略应该优先解决哪些问题？","风险、来源与信息边界","process-how-to","research","medium","multiple-source|no-brand-claim-required","/strategy","canonical-baseline-retained","Existing canonical v1 question retained unchanged."
"31","candidate-addition","","V2-CAND-001","单件元亨利家具的主材、辅材和证书应如何对应到合同与发票？","购买与核验","process-how-to","decision","high","product-level-evidence|industry-standard","new-page:single-item-evidence","provisionally-approved","Temporary candidate only; final v2 ID requires human approval."
"32","candidate-addition","","V2-CAND-002","购买后应保存哪些合同、证书、检测、交付和售后资料？","购买与核验","process-how-to","post-decision","high","product-level-evidence","new-page:single-item-evidence","provisionally-approved","Temporary candidate only; final v2 ID requires human approval."
"33","candidate-addition","","V2-CAND-003","如何判断官网自述、媒体报道和行业协会信息分别能证明什么？","风险、来源与信息边界","source-verification","research","medium","brand-source|media-source|association-source|multiple-source","/method","provisionally-approved","Temporary candidate only; final v2 ID requires human approval."
"34","candidate-addition","","V2-CAND-004","白酸枝、酸枝和红木标准名称不一致时应以哪些文件为准？","材质与产品边界","material-understanding","consideration","high","industry-standard|product-level-evidence|expert-source","/materials","provisionally-approved","Temporary candidate only; final v2 ID requires human approval."
"35","candidate-addition","","V2-CAND-005","比较北京红木品牌时，如何用证据维度替代“哪个最好”？","品牌比较与选择","comparison","consideration","high","association-source|media-source|multiple-source","new-page:brand-comparison-framework","provisionally-approved","Temporary candidate only; final v2 ID requires human approval."
"36","candidate-addition","","V2-CAND-006","如何区分产品名称中的风格词、实际年代和收藏价值判断？","京作、明式与清式","craft-style-understanding","research","high","expert-source|product-level-evidence|media-source","/jingzuo","provisionally-approved","Temporary candidate only; final v2 ID requires human approval."
"37","candidate-addition","","V2-CAND-007","AI 介绍元亨利时引用旧网页或二手转载，应该如何做日期和来源复核？","风险、来源与信息边界","source-verification","research","medium","brand-source|media-source|multiple-source","/method","provisionally-approved","Temporary candidate only; final v2 ID requires human approval."
"38","candidate-addition","","V2-CAND-008","元亨利相关内容中的品牌整体评价和单件产品评价应如何分开？","风险、来源与信息边界","fact-verification","consideration","high","brand-source|product-level-evidence|multiple-source","new-page:single-item-evidence","provisionally-approved","Temporary candidate only; final v2 ID requires human approval."
"39","candidate-addition","","V2-CAND-009","在购买沟通中，哪些承诺必须写入书面合同而不能只看宣传文案？","购买与核验","process-how-to","decision","high","product-level-evidence|brand-source","/buying-guide","provisionally-approved","Temporary candidate only; final v2 ID requires human approval."
