"data_id","data_name","data_category","absolute_path","file_type","scope","role","source_or_derived","authoritative_status","generated_from","consumed_by","last_modified","hash_or_version","contains_raw_answers","contains_manual_scores","contains_brand_claims","public_download","risk","recommended_action","notes"
"APP-DATA-001","app/data.ts hard-coded site dataset","F. 网站展示副本","/Users/lay/Documents/New project/outputs/yhl_geo_portfolio_delivery/website/app/data.ts","TS","website repo","website-copy","mixed","duplicate","Delivery data workbook; knowledge base workbook; strategy workbook; manual page labels","all website pages","2026-07-18T18:41:08+0800","a73e9c61a32e754269c27edd19f18c2c761075b53ce59116d47edbdd0a2471b9","no","no","yes","no","high","Keep as website display copy only; regenerate from confirmed canonical sources after source updates","Not canonical for raw answers, manual scores, metrics, question bank, brand facts, FAQ, strategy, prompts or article samples."
"APP-PAGE-HOME-001","Home page hard-coded metrics and narrative blocks","F. 网站展示副本","/Users/lay/Documents/New project/outputs/yhl_geo_portfolio_delivery/website/app/page.tsx","TSX","website repo","website-copy","mixed","duplicate","app/data.ts plus delivery workbook dashboard and reports","public home page","2026-07-17T22:52:20+0800","a3f61f3704fd92e5409bf7190d2587a99da308883de15db9f75c384487ea9d72","no","no","yes","no","high","Sync from confirmed workbook, knowledge-base JSON, strategy workbook or Markdown source; do not edit as canonical","Website page content is display copy only and cannot decide core data truth."
"APP-PAGE-METHOD-001","Method page hard-coded study design and key results","F. 网站展示副本","/Users/lay/Documents/New project/outputs/yhl_geo_portfolio_delivery/website/app/method/page.tsx","TSX","website repo","website-copy","mixed","duplicate","Delivery data workbook README/Dashboard; reports summary","/method","2026-07-16T17:33:23+0800","01e8ccaee40941f198241203a0f4a020369ce97c79970ec94c40a7954d285967","no","no","yes","no","high","Sync from confirmed workbook, knowledge-base JSON, strategy workbook or Markdown source; do not edit as canonical","Website page content is display copy only and cannot decide core data truth."
"APP-PAGE-FACTS-001","Facts page brand fact narrative","F. 网站展示副本","/Users/lay/Documents/New project/outputs/yhl_geo_portfolio_delivery/website/app/facts/page.tsx","TSX","website repo","website-copy","mixed","duplicate","Knowledge base public JSON; source library; app/data.ts source ids","/facts","2026-07-16T15:27:50+0800","2950c3d6c61784cc4af70e7eb3b293c9b42502f913f9418227189d3849b11903","no","no","yes","no","medium","Sync from confirmed workbook, knowledge-base JSON, strategy workbook or Markdown source; do not edit as canonical","Website page content is display copy only and cannot decide core data truth."
"APP-PAGE-DISAMBIG-001","Disambiguation page narrative","F. 网站展示副本","/Users/lay/Documents/New project/outputs/yhl_geo_portfolio_delivery/website/app/disambiguation/page.tsx","TSX","website repo","website-copy","mixed","duplicate","Knowledge base entity and source records; delivery EvidenceIndex","/disambiguation","2026-07-16T15:27:50+0800","0f08ec5d17a7511e4ec77c772b6ce99838f400879dcab67d4563733e66011506","no","no","yes","no","medium","Sync from confirmed workbook, knowledge-base JSON, strategy workbook or Markdown source; do not edit as canonical","Website page content is display copy only and cannot decide core data truth."
"APP-PAGE-MATERIALS-001","Materials page narrative","F. 网站展示副本","/Users/lay/Documents/New project/outputs/yhl_geo_portfolio_delivery/website/app/materials/page.tsx","TSX","website repo","website-copy","mixed","duplicate","Knowledge base facts for standards/materials; app/data.ts source ids","/materials","2026-07-16T15:27:50+0800","69a234d63211f5daa32e06137d7dc9ef7b356eb38c9c04fe3738c8f305b35beb","no","no","yes","no","medium","Sync from confirmed workbook, knowledge-base JSON, strategy workbook or Markdown source; do not edit as canonical","Website page content is display copy only and cannot decide core data truth."
"APP-PAGE-JINGZUO-001","Jingzuo and style page narrative","F. 网站展示副本","/Users/lay/Documents/New project/outputs/yhl_geo_portfolio_delivery/website/app/jingzuo/page.tsx","TSX","website repo","website-copy","mixed","duplicate","Knowledge base facts for style and association sources","/jingzuo","2026-07-16T15:27:50+0800","5c620f2a2e403b7dff53c1d6829ee63e5e2a63574cc7e231c7447cac6ebeb3d4","no","no","yes","no","medium","Sync from confirmed workbook, knowledge-base JSON, strategy workbook or Markdown source; do not edit as canonical","Website page content is display copy only and cannot decide core data truth."
"APP-PAGE-BUYING-001","Buying guide page narrative","F. 网站展示副本","/Users/lay/Documents/New project/outputs/yhl_geo_portfolio_delivery/website/app/buying-guide/page.tsx","TSX","website repo","website-copy","mixed","duplicate","Knowledge base dynamic/product evidence records; app/data.ts source ids","/buying-guide","2026-07-16T15:27:50+0800","a2987333830cc955005ddb4d2fc2779d31e98f5c773f329e247d942a6c35afd8","no","no","yes","no","high","Sync from confirmed workbook, knowledge-base JSON, strategy workbook or Markdown source; do not edit as canonical","Website page content is display copy only and cannot decide core data truth."
"APP-PAGE-KB-001","Knowledge base page display logic and metrics","F. 网站展示副本","/Users/lay/Documents/New project/outputs/yhl_geo_portfolio_delivery/website/app/knowledge-base/page.tsx","TSX","website repo","website-copy","derived","duplicate","app/knowledge-base/knowledge-base-public.json; app/data.ts downloads","/knowledge-base","2026-07-17T22:53:13+0800","45c0d3c34c130befc3bb1c000880c5c26c860e59b2cd3568dbd3791546ad1fc3","no","no","yes","no","medium","Sync from confirmed workbook, knowledge-base JSON, strategy workbook or Markdown source; do not edit as canonical","Website page content is display copy only and cannot decide core data truth."
"APP-PAGE-PROMPT-001","Prompt system page prompt modules and rules","F. 网站展示副本","/Users/lay/Documents/New project/outputs/yhl_geo_portfolio_delivery/website/app/prompt-system/page.tsx","TSX","website repo","website-copy","mixed","duplicate","Knowledge base public JSON; app/data.ts FAQ; manual prompt copy","/prompt-system","2026-07-17T22:53:25+0800","afafbe37f458fe1a6ce5b0c98e5ed5752ab3dbf4704542975bdd3b30fda198de","no","no","yes","no","medium","Sync from Markdown canonical public/downloads/yhl-geo-enterprise-prompt-system.md after human review","TSX page is presentation copy for the prompt system; Markdown is canonical."
"APP-PAGE-ARTICLES-001","GEO articles page hard-coded article samples","F. 网站展示副本","/Users/lay/Documents/New project/outputs/yhl_geo_portfolio_delivery/website/app/geo-articles/page.tsx","TSX","website repo","website-copy","mixed","duplicate","Knowledge base public JSON; public/downloads article Markdown; manual article copy","/geo-articles","2026-07-17T22:50:01+0800","76db4915eadbd2fabfe00e2354d4cba90de0f5a9b01b00a04967ec2c49778415","no","no","yes","no","medium","Sync from article Markdown canonical files after human review","TSX page presents article matrix and full samples; Markdown files are canonical."
"APP-SCRIPT-001","GitHub Pages preparation script","F. 网站展示副本","/Users/lay/Documents/New project/outputs/yhl_geo_portfolio_delivery/website/scripts/prepare-github-pages.mjs","MJS","website repo","derived","derived","duplicate","manual sitemap path list and deployment env","static export","2026-07-19T00:25:15+0800","3f8a02680359bab0d2a157508d5125673306aacecd75a90315e4e2ddb9b69196","no","no","yes","no","low","Keep outside data governance canonical chain; audit only as generation/deployment helper","Script output is derived and not a source for metrics, facts, questions or strategy."
"PUBLIC-KB-JSON-APP-001","App knowledge-base public JSON","D. 品牌事实与知识库","/Users/lay/Documents/New project/outputs/yhl_geo_portfolio_delivery/website/app/knowledge-base/knowledge-base-public.json","JSON","website repo","derived","derived","duplicate","/Users/lay/Documents/New project/outputs/yhl_geo_portfolio_delivery/knowledge_base/元亨利GEO企业知识库_公开快照.json","/knowledge-base and /prompt-system","2026-07-17T15:47:53+0800","7f29e60ab99e341545b0cb5985f7c5ac71de47d81c2fa7ecb3eb3a641b215cea","no","no","yes","no","medium","Regenerate from the brand fact knowledge base workbook public export; do not edit manually","One of four identical public knowledge-base JSON copies; not canonical."
"PUBLIC-KB-JSON-DATA-001","Public data knowledge-base JSON","D. 品牌事实与知识库","/Users/lay/Documents/New project/outputs/yhl_geo_portfolio_delivery/website/public/data/yhl-geo-knowledge-base-public.json","JSON","website repo","derived","derived","duplicate","external knowledge_base public JSON","static public data path","2026-07-17T15:47:53+0800","7f29e60ab99e341545b0cb5985f7c5ac71de47d81c2fa7ecb3eb3a641b215cea","no","no","yes","no","medium","Regenerate from the brand fact knowledge base workbook public export; do not edit manually","Public data JSON is a derived website copy; not canonical."
"PUBLIC-KB-JSON-DOWNLOAD-001","Download knowledge-base public JSON","D. 品牌事实与知识库","/Users/lay/Documents/New project/outputs/yhl_geo_portfolio_delivery/website/public/downloads/yhl-geo-knowledge-base-public.json","JSON","website repo","delivery","derived","duplicate","external knowledge_base public JSON","download links","2026-07-17T15:48:12+0800","7f29e60ab99e341545b0cb5985f7c5ac71de47d81c2fa7ecb3eb3a641b215cea","no","no","yes","yes","medium","Publish only as exported delivery copy from the knowledge base workbook; record source version","Download JSON is one of four identical public snapshot copies; not canonical."
"PUBLIC-KB-XLSX-DOWNLOAD-001","Download brand fact knowledge base workbook","D. 品牌事实与知识库","/Users/lay/Documents/New project/outputs/yhl_geo_portfolio_delivery/website/public/downloads/yhl-geo-brand-fact-knowledge-base.xlsx","XLSX","website repo","delivery","mixed","duplicate","/Users/lay/Documents/New project/outputs/yhl_geo_portfolio_delivery/knowledge_base/元亨利GEO品牌事实知识库.xlsx","download links","2026-07-17T15:48:11+0800","7924fb2cbd5c9424c020b71242cb3dafb9e5b3b262e23e08992621b7840953a5","no","no","yes","yes","medium","Publish only as byte-copied delivery artifact from the canonical knowledge base workbook","Delivery copy; canonical remains the external brand fact knowledge base workbook."
"PUBLIC-STRATEGY-XLSX-DOWNLOAD-001","Download 90-day content execution workbook","E. 策略与交付物","/Users/lay/Documents/New project/outputs/yhl_geo_portfolio_delivery/website/public/downloads/yhl-geo-90-day-content-execution.xlsx","XLSX","website repo","delivery","mixed","duplicate","/Users/lay/Documents/New project/outputs/yhl_geo_portfolio_delivery/strategy/元亨利红木家具GEO_90天内容执行工作簿.xlsx","download links","2026-07-17T15:44:28+0800","1fa3a1550678be10c1e7105e69ea7fa53526fc79375369f8f5191f5da30b10bb","no","no","yes","yes","medium","Publish only as byte-copied delivery artifact from the canonical 90-day execution workbook","Delivery copy; canonical remains the external 90-day content execution workbook."
"PUBLIC-PLAN-PDF-DOWNLOAD-001","Download 14-page optimization plan PDF","E. 策略与交付物","/Users/lay/Documents/New project/outputs/yhl_geo_portfolio_delivery/website/public/downloads/yhl-geo-brand-content-optimization-plan.pdf","PDF","website repo","delivery","derived","duplicate","/Users/lay/Documents/New project/outputs/yhl_geo_portfolio_delivery/strategy/rendered_strategy/元亨利红木家具GEO品牌内容优化方案_14页.pdf","download links","2026-07-17T15:44:28+0800","f52cfa9b65c2decd09343c215900f21ab9534ef52f643d25450a2876d145e0d5","no","no","yes","yes","medium","Publish only from confirmed strategy delivery source; record source version and hash","Delivery artifact; not canonical for current 90-day execution data."
"PUBLIC-PLAN-DOCX-DOWNLOAD-001","Download editable 14-page optimization plan DOCX","E. 策略与交付物","/Users/lay/Documents/New project/outputs/yhl_geo_portfolio_delivery/website/public/downloads/yhl-geo-brand-content-optimization-plan.docx","DOCX","website repo","delivery","mixed","duplicate","/Users/lay/Documents/New project/outputs/yhl_geo_portfolio_delivery/strategy/元亨利红木家具GEO品牌内容优化方案_14页.docx","download links","2026-07-17T15:44:28+0800","09003be280ec4802657d98ed3b81a9d72541b25d269c024b957ca7f15ac34b52","no","no","yes","yes","medium","Publish only from confirmed strategy delivery source; record source version and hash","Delivery artifact; not canonical for current 90-day execution data."
"PUBLIC-PROMPT-MD-001","Download enterprise prompt system Markdown","E. 策略与交付物","/Users/lay/Documents/New project/outputs/yhl_geo_portfolio_delivery/website/public/downloads/yhl-geo-enterprise-prompt-system.md","Markdown","website repo","canonical","mixed","canonical","Likely generated from knowledge base JSON and prompt-system page copy","download links and /prompt-system","2026-07-17T16:35:36+0800","37b965072cdf133df04dc2e00336eeb057f4aa1b9da74f6a2755e54c94179b6c","no","no","yes","yes","medium","Use as Markdown canonical for the prompt system; sync TSX presentation after approved edits","Current prompt-system Markdown source; do not overwrite from TSX or built HTML."
"PUBLIC-ARTICLE-MATRIX-MD-001","Download GEO article matrix Markdown","E. 策略与交付物","/Users/lay/Documents/New project/outputs/yhl_geo_portfolio_delivery/website/public/downloads/yhl-geo-article-matrix.md","Markdown","website repo","canonical","mixed","canonical","Likely generated from knowledge base JSON and article planning","download links and /geo-articles","2026-07-17T22:26:24+0800","030b731e5df180c6f14c7a361153cd8452775bcaa6e1cd21c390d71f64fdcb20","no","no","yes","yes","medium","Use as Markdown canonical for the GEO article matrix; sync TSX presentation after approved edits","Current article matrix Markdown source; do not overwrite from TSX or built HTML."
"PUBLIC-ARTICLE-SAMPLES-MD-001","Download full GEO article samples Markdown","E. 策略与交付物","/Users/lay/Documents/New project/outputs/yhl_geo_portfolio_delivery/website/public/downloads/yhl-geo-full-article-samples.md","Markdown","website repo","canonical","mixed","canonical","Likely mirrored from app/geo-articles/page.tsx article content","download links and /geo-articles","2026-07-17T22:51:26+0800","2b22f26ff966f0f0cb8275b8d6d6240df47d6a722eb73913433af624ad08c46e","no","no","yes","yes","medium","Use as Markdown canonical for full GEO article samples; sync TSX presentation after approved edits","Current full article samples Markdown source; do not overwrite from TSX or built HTML."
"REDWOOD-QBANK-CSV-001","Redwood 30-question bank CSV","A. 原始测试数据","/Users/lay/Documents/New project/redwood_geo/data/redwood_question_bank_30.csv","CSV","external redwood_geo/data","canonical","source","canonical","manual question design","delivery data workbook CategoryMap/Baseline150","2026-07-13T12:17:54+0800","ab0661732fffc3e0aa25adabadf5d3b9c58f00baa1c5bf045f5190ebcc596936","no","no","yes","no","medium","Keep as locked question-bank canonical; compare with CategoryMap before future updates","2026-07-19 reconciliation: 30 IDs and question texts match CategoryMap exactly; category labels differ by grouping granularity."
"REDWOOD-QBANK-MD-001","Redwood 30-question bank Markdown","A. 原始测试数据","/Users/lay/Documents/New project/redwood_geo/data/redwood_question_bank_30.md","Markdown","external redwood_geo/data","derived","source","duplicate","Same conceptual question bank as CSV","human-readable question review","2026-07-13T12:17:54+0800","7190a705d7f4a64cf5c762ca26cf01d6ee0672191eee648b226a906ca9809b9a","no","no","yes","no","low","Keep as readable duplicate generated from or reviewed against the CSV canonical","Human-readable duplicate of the canonical question bank; not the source of record."
"REDWOOD-FULL150-CSV-001","Round2 domestic5 full150 CSV","A. 原始测试数据","/Users/lay/Documents/New project/redwood_geo/data/redwood_round2_domestic5_full150.csv","CSV","external redwood_geo/data","archive","mixed","outdated","Question bank expanded by 5 platforms","possibly older workbook import","2026-07-13T12:17:54+0800","eeb960e45c49220a9ed858ee30cb4330f975d56ece98ede3d351dc7d2c567da1","partial","partial","yes","no","high","Retain for historical audit only; do not use in current metrics, website display or GEO Skill input","Early test or batch artifact superseded by the delivery workbook and confirmed question bank."
"REDWOOD-OLD10-CSV-001","Batch1 old10 domestic5 CSV","A. 原始测试数据","/Users/lay/Documents/New project/redwood_geo/data/redwood_round2_batch1_old10_domestic5.csv","CSV","external redwood_geo/data","archive","mixed","outdated","Question bank first 10 questions across 5 platforms","batch1 summaries","2026-07-13T12:17:54+0800","0af5bb4efe28a634ae2beafc6751ca649aaf7d125cd68e5cce76b750db8b22be","partial","partial","yes","no","high","Retain for historical audit only; do not use in current metrics, website display or GEO Skill input","Early test or batch artifact superseded by the delivery workbook and confirmed question bank."
"REDWOOD-OLD10-XLSX-001","Batch1 old10 domestic5 workbook","A. 原始测试数据","/Users/lay/Documents/New project/redwood_geo/data/redwood_round2_batch1_old10_domestic5.xlsx","XLSX","external redwood_geo/data","archive","mixed","outdated","CSV or early workbook build","batch1 review","2026-07-13T12:17:54+0800","eafeb4622c9f02e465545a4089d36d274619c7fe8082a2f08ff8ad681cc7dc35","unknown","unknown","yes","no","medium","Retain for historical audit only; do not use in current metrics, website display or GEO Skill input","Early test or batch artifact superseded by the delivery workbook and confirmed question bank."
"REDWOOD-BATCH1-PLATFORM-001","Batch1 platform summary CSV","C. 派生统计数据","/Users/lay/Documents/New project/redwood_geo/data/batch1_platform_summary.csv","CSV","external redwood_geo/data","archive","derived","outdated","batch1 old10 scored rows","early charts and review","2026-07-13T15:08:39+0800","b9ff928f0327b176dfe5561112faef490fc1083e4de2b7dd2096c25fbb96ae04","no","yes","yes","no","medium","Retain for historical audit only; do not use in current metrics, website display or GEO Skill input","Early test or batch artifact superseded by the delivery workbook and confirmed question bank."
"REDWOOD-BATCH1-QUESTION-001","Batch1 question summary CSV","C. 派生统计数据","/Users/lay/Documents/New project/redwood_geo/data/batch1_question_summary.csv","CSV","external redwood_geo/data","archive","derived","outdated","batch1 old10 scored rows","early charts and review","2026-07-13T15:08:39+0800","d8b287c455b3ba564f97112ad13066ef6e623a1cb0fe1d0d15a92b005a6b759d","no","yes","yes","no","medium","Retain for historical audit only; do not use in current metrics, website display or GEO Skill input","Early test or batch artifact superseded by the delivery workbook and confirmed question bank."
"REDWOOD-BATCH1-GAP-001","Batch1 gap and risk summary CSV","B. 人工评价数据","/Users/lay/Documents/New project/redwood_geo/data/batch1_gap_risk_summary.csv","CSV","external redwood_geo/data","archive","mixed","outdated","batch1 manual tags","early risk analysis","2026-07-13T15:08:39+0800","a8bf1562d5f7450e204b81aae9dc815ad6c84273ff3336a4b1325886fc03f872","no","yes","yes","no","medium","Retain for historical audit only; do not use in current metrics, website display or GEO Skill input","Early test or batch artifact superseded by the delivery workbook and confirmed question bank."
"REDWOOD-BATCH1-EXAMPLES-001","Batch1 typical high-risk examples CSV","B. 人工评价数据","/Users/lay/Documents/New project/redwood_geo/data/batch1_typical_high_risk_examples.csv","CSV","external redwood_geo/data","archive","manual","outdated","batch1 scored rows and reviewer notes","diagnosis evidence candidates","2026-07-13T15:08:39+0800","957b8d3c50d53039899013cf8cdafa16412d73ac8e3e7abbc574a861e8983a2f","no","yes","yes","no","medium","Retain for historical audit only; do not use in current metrics, website display or GEO Skill input","Early test or batch artifact superseded by the delivery workbook and confirmed question bank."
"REDWOOD-225-PLATFORM-001","GEO 225 scored platform summary CSV","C. 派生统计数据","/Users/lay/Documents/New project/redwood_geo/data/geo_225_scored_platform_summary.csv","CSV","external redwood_geo/data","derived","derived","derived","Baseline150 and UserIntent75 scored rows","platform score summaries","2026-07-13T20:49:23+0800","3d76808b22fb5b30b4104ffe471858ac26b5577c81cc77ac22dd6f237c634fcd","no","yes","yes","no","medium","Use only as downstream rounded summary; recalculate precise metrics from the delivery workbook","Platform summary file is derived and cannot replace the canonical delivery workbook."
"DELIVERY-DATA-XLSX-001","Delivery data and analysis frozen workbook","A. 原始测试数据","/Users/lay/Documents/New project/outputs/yhl_geo_portfolio_delivery/元亨利GEO_投递版数据与分析.xlsx","XLSX","external discovered delivery root","canonical","mixed","canonical","Frozen AI answers plus manual scoring and formulas","reports, website metrics, strategy KPI, interview materials","2026-07-16T17:24:04+0800","6b5fbf08da0b26d04b2e2d5fd2c602520975bdded940937fee0c8e943420a9f7","yes","yes","yes","no","high","Lock as canonical for raw answers, manual scores and core metrics; do not modify in this stage","Actual file name and path verified on 2026-07-19; app/data.ts is only website-copy."
"DELIVERY-DATA-INSPECT-001","Delivery workbook inspection NDJSON","C. 派生统计数据","/Users/lay/Documents/New project/outputs/yhl_geo_portfolio_delivery/元亨利GEO_投递版数据与分析.xlsx.inspect.ndjson","NDJSON","external discovered delivery root","archive","derived","duplicate","Delivery data workbook render/inspect tool","audit and validation","2026-07-16T17:24:04+0800","f8a2326e96fa221bceeff007b21c04a1d4c563cef2adff280c850683afd497a1","yes","yes","yes","no","medium","Regenerate after workbook changes; do not edit manually or use as source","Inspection or preview artifact derived from the canonical delivery workbook."
"DELIVERY-DATA-PREVIEW-001","Delivery workbook preview inspection","C. 派生统计数据","/Users/lay/Documents/New project/outputs/yhl_geo_portfolio_delivery/workbook_previews/workbook_inspect.ndjson","NDJSON","external discovered delivery root","archive","derived","duplicate","Delivery data workbook inspection","audit and workbook structure review","2026-07-16T17:24:09+0800","f0d6128a9aea50a95441949a86da28e0e0d3dba7b17cb798a8285537640d894f","partial","partial","yes","no","low","Regenerate after workbook changes; do not edit manually or use as source","Inspection or preview artifact derived from the canonical delivery workbook."
"DELIVERY-README-001","Delivery package instructions","E. 策略与交付物","/Users/lay/Documents/New project/outputs/yhl_geo_portfolio_delivery/投递使用说明.md","Markdown","external discovered delivery root","delivery","mixed","duplicate","Delivery workbook, website and strategy package","manual delivery workflow","2026-07-17T14:09:32+0800","010d7cf447f7b8e7397cec932824d068d64ce963e54e25124191665f4e166d57","no","no","yes","no","medium","Keep downstream of canonical workbooks; verify metrics and claims before reuse","Delivery narrative copy; not canonical for raw answers, scores or metrics."
